FAQ_No,Category1,Category2,Category3,Category4,Category5,Question,Answer,Landing URL,Image info (URL)
28,수강신청/수업,수업,채플,일정,,채플 일정,"개강채플시, 한 학기 일정표를 나눠주고 있으며, 교목실 홈페이지에서도 확인 가능합니다.
문의처: 교목실 학원선교팀(한경직기념관 114호) Tel.(02)820-0125
▼교목실 홈페이지 바로가기▼",http://chaplain.ssu.ac.kr/index.jsp,
29,수강신청/수업,수업,채플,유고결석,,채플 유고결석,"채플 유고결석계 신청 방법!

U-SAINT → 학사관리 → 수강신청/수업 → 결석신청에서 신청한 후, 관련서류를 지참하여 학생서비스팀에 가면 됩니다. 단, 보건결석계는 채플 출석 인정이 되지 않습니다.
문의처: 교목실 학원선교팀(한경직기념관 114호) Tel.(02)820-0125",,
30,수강신청/수업,수업,채플,좌석확인,,채플 좌석확인,"채플 좌석확인 방법!

U-SAINT → 학사관리 → 수강신청/수업 에서 “채플정보조회”에서 확인 가능합니다.
(반드시, 해당학기를 선택한 후 조회버튼을 클릭해야 함.)
문의처: 교목실 학원선교팀(한경직기념관 114호) Tel.(02)820-0125",,
31,수강신청/수업,수업,채플,출석확인,,채플 출석확인,"채플이 끝난 후, 한경직 기념관 앞 기둥에서 확인 가능합니다.
(또는, U-SAINT “채플정보조회”에서도 확인가능함.)
문의처: 교목실 학원선교팀(한경직기념관 114호) Tel.(02)820-0125",,
32,전과/다전공,전과,신청,,,전과 신청 방법,"전과 신청 방법

1. 신청기간 : 매년 초 (1월 초)
2. 신청방법 : 인터넷 (u-SAINT 포털 ? 학사관리 ? 학적변동 ? 전과 신청)
3. 신청자격 : 신청일 현재 2~5학기 이수자
4. 유의사항
가. 한 번에 1개 학과(부)만 신청 가능
나. 일단 승인되면 이전 학과(부) 복귀 및 취소 불가하므로 신중히 신청해야 함",,
33,전과/다전공,전과,편입생,,,편입생 전과,"편입생은 다전공은 신청 가능하나, 전과는 신청할 수 없습니다.",,
34,전과/다전공,복수전공,신청자격,,,복수전공 신청자격,"복수전공 신청자격!

대상학년 : 신청일 현재 2-6학기 이수자",,
35,전과/다전공,복수전공,이수학점,,,복수전공 이수학점,"복수전공 이수학점은?

복수전공 신청자는 주전공 및 복수전공의 전공과목을 36학점 이상(단, 2009학년도 입학자부터 경영대학을 주전공 및 복수전공하는 학생은 각각 45학점 이상) 이수하여야 합니다.",,
36,전과/다전공,부전공,,,,부전공 이수학점,"부전공 전공 이수학점!

부전공을 하는 학생도 단수전공자와 동일하게 전공학점을 이수하여야합니다. 그리고 부전공학과(부)의 부전공 필수과목을 포함하여 전공과목을 21학점 이상을 더 이수하여야 합니다.",,
37,성적,성적이의,,,,성적이의 신청,"성적이의 신청!

성적에 이의가 있는 학생은 정해진 기간에 담당교수에게 이의신청 할 수 있습니다.
단, 성적이의 신청은 교과목 담당교수의 평가 오류일 때에만 가능합니다.",,
38,졸업,조기 졸업,,,,조기졸업 방법,"조기졸업 방법!

조기졸업은 3학년 1학기 개시 전 정해진 기간에 신청을 하여야 하며, 신청당시 학업성적의 학적부 학점 평점평균이 4.00(A-) 이상이어야 합니다. 또한 조기졸업 신청자에 한하여 6~7학기 이내에 모든 졸업요건을 충족하고 학적부 학점 평점평균이 4.00(A-) 이상이면 조기졸업 됩니다.",,
39,성적,성적계산,,,,성적계산 방법,"성적 평점계산 방법!

한 학기 학점의 평점평균은 당해학기 성적평점의 누계(과목당 평점평균*학점수의 합)를 수강신청 학점수로 나누어 계산하며, 전체 평점평균은 총 성적평점 누계를 총 취득학점수로 나누어 계산합니다.

※ 매학기 15학점(4학년은 12학점) 미만을 취득한 학생은 성적을 기준으로 선발하는 각종 장학금 및 표창대상에서 제외합니다.",,
40,유고/보건결석,유고결석,,,,유고결석,"유고결석 신청방법

    1. 온라인신청
        1) U-saint 접속→수강신청/수업→결석신청
        2)신규작성, 결석구분선택 및 사유 작성
        3)시작/종료일자 입력 및 결석과목 선택→저장
        ※결석종료일로부터 10일 이내 신청 및 증빙서류 제출
    2. 증빙서류 제출
        1) 결석 관련 증빙서류 제출
        2) 제출처 : 학생팀(학생회관 406호)
 
□ 해당사유 및 증빙서류
    1. 병사관계로 인한 결석 - 신체검사 및 예비군 등(병무청 발행 관련서류 증빙)
    2. 4촌 이내의 혈족 사망으로 인한 결석: 2촌 이내-5일, 3,4촌-2일
        (본인과의 4촌임을 증명할 수 있는 서류와 ‘사망진단서’증빙)
    3. 학교 대표로 참석한 각종 교육, 연수, 훈련으로 인한 결석 - 동기간
        (학교에서 인정하는 관계서류 증빙)
    4. 질병 또는 사고로 인한 결석 - 1주 이상 4주 미만의 입원일 수
        (병, 의원발행 ‘입원확인서’ 1부 증빙)
 
□ 문의: 학생처 학생팀(☎ 820-0164)",,
41,유고/보건결석,보건결석,,,,보건결석,"보건결석 신청방법

u-SAINT 포털 ▶ 학사관리 ▶ 수강신청/수업 ▶ 결석신청 에서 보건결석 신청할 수 있습니다.
* 보건결석 해당사항
1. 보건결석은 여학생이 보건공결(생리) 이유로 결석하는 경우에만 신청 하실 수 있습니다.
2. 결석사유에는 보건공결로 기재하시고 기타질병(단순 복통, 감기몸살, 병원치료 등)에 대해서는 신청하실 수 없습니다.
3. 영어사유는 입력하지 않아도 됩니다.",,
