FAQ_No,Category1,Category2,Category3,Category4,Category5,Question,Answer,Landing URL,Image info (URL)
,증명서,휴학증명서,,,,휴학증명서,"학교 내 증명서 자동발급기 
이용장소: 진리관 1층 및 신양관 학사팀
이용시간: 09:00 ~ 22:00
수수료: 1통당 500원
결제방법: 신용카드 또는 핸드폰

인터넷, 우체국, Fax민원 신청으로도 발급 가능해요!
자세한 방법 보러가기!??",https://ssu.ac.kr/%ed%95%99%ec%82%ac/%ec%a6%9d%eb%aa%85%ec%84%9c-%eb%b0%9c%ea%b8%89/,
,증명서,졸업증명서,,,,졸업증명서,"학교 내 증명서 자동발급기 
이용장소: 진리관 1층 및 신양관 학사팀
이용시간: 09:00 ~ 22:00
수수료: 1통당 500원
결제방법: 신용카드 또는 핸드폰

인터넷, 우체국, Fax민원 신청으로도 발급 가능해요!
자세한 방법 보러가기!??",https://ssu.ac.kr/%ed%95%99%ec%82%ac/%ec%a6%9d%eb%aa%85%ec%84%9c-%eb%b0%9c%ea%b8%89/,
,캠퍼스맵,,,,,캠퍼스맵,캠퍼스맵 확인하러 가기!??,https://ssu.ac.kr/%ed%95%99%ea%b5%90%ec%86%8c%ea%b0%9c/%ec%ba%a0%ed%8d%bc%ec%8a%a4%ec%95%88%eb%82%b4/%ec%ba%a0%ed%8d%bc%ec%8a%a4%eb%a7%b5/,
,전과 및 다전공,,,,,전과,"전과 / 다전공
1. 선발 성적 및 경쟁률, 교과과정 문의는 각 희망하는 전공의 각 학과 사무실에서 상담 받을 수 있습니다.
2. 신청 자격(학년), 기간, 방법에 대한 문의는 학사팀에 문의하시면 됩니다.

각 학과 사무실에 대한 정보를 알아보시려면
학과 이름을 입력해주세요!
예) 컴퓨터학부 or 글로벌미디어학과
전과 / 다전공 신청 ??",https://saint.ssu.ac.kr/,
,전과 및 다전공,다전공,,,,다전공,"전과 / 다전공
1. 선발 성적 및 경쟁률, 교과과정 문의는 각 희망하는 전공의 각 학과 사무실에서 상담 받을 수 있습니다.
2. 신청 자격(학년), 기간, 방법에 대한 문의는 학사팀에 문의하시면 됩니다.

각 학과 사무실에 대한 정보를 알아보시려면
학과 이름을 입력해주세요!
예) 컴퓨터학부 or 글로벌미디어학과
전과 / 다전공 신청 ??",https://saint.ssu.ac.kr/,
,전과 및 다전공,복수전공,,,,복수전공,"전과 / 다전공
1. 선발 성적 및 경쟁률, 교과과정 문의는 각 희망하는 전공의 각 학과 사무실에서 상담 받을 수 있습니다.
2. 신청 자격(학년), 기간, 방법에 대한 문의는 학사팀에 문의하시면 됩니다.

각 학과 사무실에 대한 정보를 알아보시려면
학과 이름을 입력해주세요!
예) 컴퓨터학부 or 글로벌미디어학과
전과 / 다전공 신청 ??",https://saint.ssu.ac.kr/,
,편의시설,매점,,,,매점,"교내 매점??
-형남공학관 편의점
위치: 형남공학관 B124호
전화번호: 02-820-0899
-안익태기념관 편의점
위치: 안익태기념관 정문 앞
-숭덕경상관 편의점
위치: 숭덕경상관 118호
전화번호: 02-828-7447
-전산관 편의점
위치: 전산관 지하 1층 입구
전화번호: 02-828-7446
-편의점(GS25)
위치: 레지던스홀 지하1층
지도 보러가기! ??",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EB%A7%A4%EC%A0%90#map_area,
,편의시설,매점,,,,편의점,"교내 매점??
-형남공학관 편의점
위치: 형남공학관 B124호
전화번호: 02-820-0899
-안익태기념관 편의점
위치: 안익태기념관 정문 앞
-숭덕경상관 편의점
위치: 숭덕경상관 118호
전화번호: 02-828-7447
-전산관 편의점
위치: 전산관 지하 1층 입구
전화번호: 02-828-7446
-편의점(GS25)
위치: 레지던스홀 지하1층
지도 보러가기! ??",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EB%A7%A4%EC%A0%90#map_area,
,편의시설,매점,,,,교내 매점,"교내 매점??
-형남공학관 편의점
위치: 형남공학관 B124호
전화번호: 02-820-0899
-안익태기념관 편의점
위치: 안익태기념관 정문 앞
-숭덕경상관 편의점
위치: 숭덕경상관 118호
전화번호: 02-828-7447
-전산관 편의점
위치: 전산관 지하 1층 입구
전화번호: 02-828-7446
-편의점(GS25)
위치: 레지던스홀 지하1층
지도 보러가기! ??",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EB%A7%A4%EC%A0%90#map_area,
,편의시설,매점,,,,교내 편의점,"교내 매점??
-형남공학관 편의점
위치: 형남공학관 B124호
전화번호: 02-820-0899
-안익태기념관 편의점
위치: 안익태기념관 정문 앞
-숭덕경상관 편의점
위치: 숭덕경상관 118호
전화번호: 02-828-7447
-전산관 편의점
위치: 전산관 지하 1층 입구
전화번호: 02-828-7446
-편의점(GS25)
위치: 레지던스홀 지하1층
지도 보러가기! ??",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EB%A7%A4%EC%A0%90#map_area,
,편의시설,카페,,,,카페,"교내 카페?
-Nicky’s Take Out
위치: 웨스트민스터홀 3층 입구 뒤 쪽

-EBISU
위치: 형남공학관 2층

-네이버스퀘어
위치: 웨스트민스터홀 3층
전화번호: 02-820-0884
지도 보러가기! ??",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EC%B9%B4%ED%8E%98#map_area,
,편의시설,카페,,,,교내 카페,"교내 카페?
-Nicky’s Take Out
위치: 웨스트민스터홀 3층 입구 뒤 쪽

-EBISU
위치: 형남공학관 2층

-네이버스퀘어
위치: 웨스트민스터홀 3층
전화번호: 02-820-0884
지도 보러가기! ??",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EC%B9%B4%ED%8E%98#map_area,
,편의시설,금융시설,,,,금융시설,"교내 금융시설 / ATM??
-우리은행 
위치: 신양관 지하 1층 
전화번호: 02-820-0848

-우체국
위치: 신양관 지하 1층
전화번호: 02-815-3366
09:00 ~ 18:00, 토/일 휴무

-형남공학관 ATM
위치: 형남공학관 2층 로비
소개: 08:00 ~ 22:00, 우리은행

-베어드홀 ATM
위치: 베어드홀 2층
소개: 08:00 ~ 22:00, 국민은행, 우리은행

-정보과학관 ATM
위치: 정보과학관 1층
소개: 09:00 ~ 16:00, 우리은행

-전산관 ATM
위치: 전산관 1층 출입구
소개: 09:00 ~ 16:00, 우리은행

-조만식기념관 ATM
위치: 조만식기념관 1층
소개: 우리은행, 신한은행 : 07:00~23:00(일요일, 공휴일제외),현금 입/출금, 수표 입/출금, 송금 
지도 보러가기!??",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EA%B8%88%EC%9C%B5%EC%8B%9C%EC%84%A4#map_area,
,편의시설,금융시설,,,,ATM,"교내 금융시설 / ATM??
-우리은행 
위치: 신양관 지하 1층 
전화번호: 02-820-0848

-우체국
위치: 신양관 지하 1층
전화번호: 02-815-3366
09:00 ~ 18:00, 토/일 휴무

-형남공학관 ATM
위치: 형남공학관 2층 로비
소개: 08:00 ~ 22:00, 우리은행

-베어드홀 ATM
위치: 베어드홀 2층
소개: 08:00 ~ 22:00, 국민은행, 우리은행

-정보과학관 ATM
위치: 정보과학관 1층
소개: 09:00 ~ 16:00, 우리은행

-전산관 ATM
위치: 전산관 1층 출입구
소개: 09:00 ~ 16:00, 우리은행

-조만식기념관 ATM
위치: 조만식기념관 1층
소개: 우리은행, 신한은행 : 07:00~23:00(일요일, 공휴일제외),현금 입/출금, 수표 입/출금, 송금 
지도 보러가기!??",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EA%B8%88%EC%9C%B5%EC%8B%9C%EC%84%A4#map_area,
,편의시설,금융시설,,,,학교 내 금융시설,"교내 금융시설 / ATM??
-우리은행 
위치: 신양관 지하 1층 
전화번호: 02-820-0848

-우체국
위치: 신양관 지하 1층
전화번호: 02-815-3366
09:00 ~ 18:00, 토/일 휴무

-형남공학관 ATM
위치: 형남공학관 2층 로비
소개: 08:00 ~ 22:00, 우리은행

-베어드홀 ATM
위치: 베어드홀 2층
소개: 08:00 ~ 22:00, 국민은행, 우리은행

-정보과학관 ATM
위치: 정보과학관 1층
소개: 09:00 ~ 16:00, 우리은행

-전산관 ATM
위치: 전산관 1층 출입구
소개: 09:00 ~ 16:00, 우리은행

-조만식기념관 ATM
위치: 조만식기념관 1층
소개: 우리은행, 신한은행 : 07:00~23:00(일요일, 공휴일제외),현금 입/출금, 수표 입/출금, 송금 
지도 보러가기!??",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EA%B8%88%EC%9C%B5%EC%8B%9C%EC%84%A4#map_area,
,편의시설,금융시설,,,,학교 내 ATM,"교내 금융시설 / ATM??
-우리은행 
위치: 신양관 지하 1층 
전화번호: 02-820-0848

-우체국
위치: 신양관 지하 1층
전화번호: 02-815-3366
09:00 ~ 18:00, 토/일 휴무

-형남공학관 ATM
위치: 형남공학관 2층 로비
소개: 08:00 ~ 22:00, 우리은행

-베어드홀 ATM
위치: 베어드홀 2층
소개: 08:00 ~ 22:00, 국민은행, 우리은행

-정보과학관 ATM
위치: 정보과학관 1층
소개: 09:00 ~ 16:00, 우리은행

-전산관 ATM
위치: 전산관 1층 출입구
소개: 09:00 ~ 16:00, 우리은행

-조만식기념관 ATM
위치: 조만식기념관 1층
소개: 우리은행, 신한은행 : 07:00~23:00(일요일, 공휴일제외),현금 입/출금, 수표 입/출금, 송금 
지도 보러가기!??",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EA%B8%88%EC%9C%B5%EC%8B%9C%EC%84%A4#map_area,
,편의시설,금융시설,,,,교내 ATM,"교내 금융시설 / ATM??
-우리은행 
위치: 신양관 지하 1층 
전화번호: 02-820-0848

-우체국
위치: 신양관 지하 1층
전화번호: 02-815-3366
09:00 ~ 18:00, 토/일 휴무

-형남공학관 ATM
위치: 형남공학관 2층 로비
소개: 08:00 ~ 22:00, 우리은행

-베어드홀 ATM
위치: 베어드홀 2층
소개: 08:00 ~ 22:00, 국민은행, 우리은행

-정보과학관 ATM
위치: 정보과학관 1층
소개: 09:00 ~ 16:00, 우리은행

-전산관 ATM
위치: 전산관 1층 출입구
소개: 09:00 ~ 16:00, 우리은행

-조만식기념관 ATM
위치: 조만식기념관 1층
소개: 우리은행, 신한은행 : 07:00~23:00(일요일, 공휴일제외),현금 입/출금, 수표 입/출금, 송금 
지도 보러가기!??",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EA%B8%88%EC%9C%B5%EC%8B%9C%EC%84%A4#map_area,
,편의시설,,,,,교내 편의시설,교내 편의시설 정보&위치 보러가기!??,https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EC%B2%B4%EC%9C%A1%EC%8B%9C%EC%84%A4#map_area,
,편의시설,,,,,편의시설,교내 편의시설 정보&위치 보러가기!??,https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EC%B2%B4%EC%9C%A1%EC%8B%9C%EC%84%A4#map_area,
,동아리,,,,,동아리,교내 동아리 활동 상세보기??,https://ssu.ac.kr/download.php?data=1iZBAEYP01G24N2v6wVl9lozjEyUUmlYu%2BBI6hqOXoVdywSODYt2DoTmplO0nDJVwq%2FxHDk36qdkZ%2BTbXo5EOQ7dldNhJuJmjhrx1V6sbRPhUbgnr2gxI%2FqewsQlxillIw9eN20jae816R0wxIwJnPyYm%2BOPwqlTuj%2BcZmYJXP8WLXE%2Fl0moHDcopWYyt45W8hL%2B6O7uXSSfxg%2BfwItC3g%3D%3D,
,창업지원단,,,,,창업지원단,창업지원단 홈페이지 바로가기!,http://startup.ssu.ac.kr/,
,창업지원단,,,,,스타트업,창업지원단 홈페이지 바로가기!,http://startup.ssu.ac.kr/,
,학점이수,계절학기,,,,계절학기,"계절학기는 재학생 대상 최대 6학점 신청 가능하며,
하기 / 동계 방학기간 평일 15일간 진행되며 u-SAINT를 통해 신청할 수 있습니다.",,
,학점이수,계절학기,,,,계절제,"계절학기는 재학생 대상 최대 6학점 신청 가능하며,
하기 / 동계 방학기간 평일 15일간 진행되며 u-SAINT를 통해 신청할 수 있습니다.",,
,와이파이,,,,,와이파이,"교내 무선랜 
SSUWIFI
강의실 번호 5자리 형태로 되어 있는 무선랜 : 예) 19505, 19505G 등

1. 단말기에서 무선랜을 검색 후 SSUWIFI 또는 강의실번호 무선랜을 선택
2. 연결하고 인터넷을 실행하면 네트워크 인증 화면이 나타납니다
.
아이디/비밀번호 : 학번/주민등록번호 뒤 7자리",,
,와이파이,,,,,wifi,"교내 무선랜 
SSUWIFI
강의실 번호 5자리 형태로 되어 있는 무선랜 : 예) 19505, 19505G 등

1. 단말기에서 무선랜을 검색 후 SSUWIFI 또는 강의실번호 무선랜을 선택
2. 연결하고 인터넷을 실행하면 네트워크 인증 화면이 나타납니다
.
아이디/비밀번호 : 학번/주민등록번호 뒤 7자리",,
,와이파이,,,,,무선랜,"교내 무선랜 
SSUWIFI
강의실 번호 5자리 형태로 되어 있는 무선랜 : 예) 19505, 19505G 등

1. 단말기에서 무선랜을 검색 후 SSUWIFI 또는 강의실번호 무선랜을 선택
2. 연결하고 인터넷을 실행하면 네트워크 인증 화면이 나타납니다
.
아이디/비밀번호 : 학번/주민등록번호 뒤 7자리",,
,유고/보건결석,유고결석,,,,유고결석,"유고결석 신청방법
    1. 온라인신청
        ? U-saint 접속→수강신청/수업→결석신청
        ? 신규작성, 결석구분선택 및 사유 작성
        ? 시작/종료일자 입력 및 결석과목 선택→저장
        ※결석종료일로부터 10일 이내 신청 및 증빙서류 제출
    2. 증빙서류 제출
        ? 결석 관련 증빙서류 제출
        ? 제출처 : 학생팀(학생회관 406호)
 
□ 해당사유 및 증빙서류
    1. 병사관계로 인한 결석 ? 신체검사 및 예비군 등(병무청 발행 관련서류 증빙)
    2. 4촌 이내의 혈족 사망으로 인한 결석: 2촌 이내-5일, 3,4촌-2일
        (본인과의 4촌임을 증명할 수 있는 서류와 ‘사망진단서’증빙)
    3. 학교 대표로 참석한 각종 교육, 연수, 훈련으로 인한 결석 ? 동기간
        (학교에서 인정하는 관계서류 증빙)
    4. 질병 또는 사고로 인한 결석 ? 1주 이상 4주 미만의 입원일 수
        (병, 의원발행 ‘입원확인서’ 1부 증빙)
 
□ 문의: 학생처 학생팀(☎ 820-0164)",,
,유고/보건결석,보건결석,,,,보건결석,"u-SAINT 포털 ▶ 학사관리 ▶ 수강신청/수업 ▶ 결석신청 에서 보건결석 신청할 수 있습니다.
해당사항 이외의 사유로 신청을 하실 경우 승인이 거부되니, 아래의 내용을 유의하시어 신청하기 바랍니다.
* 보건결석 해당사항
1. 보건결석은 여학생이 보건공결(생리) 이유로 결석하는 경우에만 신청 하실 수 있습니다.
2. 결석사유에는 "보건공결"로 기재하시고, 기타질병(단순 복통, 감기몸살, 병원치료 등)에 대해서는 신청하실 수 없습니다.
3. 영어사유는 입력하지 않아도 됩니다.",,
