FAQ_No,Category1,Category2,Category3,Category4,Category5,Question,Answer,Landing URL,Image info (URL)
11,편의시설,금융시설,,,,학교 내 ATM,"♬교내 매점♬

-형남공학관 편의점
위치: 형남공학관 B124호
전화번호: 02-820-0899
-안익태기념관 편의점
위치: 안익태기념관 정문 앞
-숭덕경상관 편의점
위치: 숭덕경상관 118호
전화번호: 02-828-7447
-전산관 편의점
위치: 전산관 지하 1층 입구
전화번호: 02-828-7446
-편의점(GS25)
위치: 레지던스홀 지하1층

지도 보러가기!",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EA%B8%88%EC%9C%B5%EC%8B%9C%EC%84%A4#map_area,
12,편의시설,금융시설,,,,교내 ATM,"교내 금융시설 / ATM

-우리은행 
위치: 신양관 지하 1층 
전화번호: 02-820-0848

-우체국
위치: 신양관 지하 1층
전화번호: 02-815-3366
09:00 ~ 18:00, 토/일 휴무

-형남공학관 ATM
위치: 형남공학관 2층 로비
소개: 08:00 ~ 22:00, 우리은행

-베어드홀 ATM
위치: 베어드홀 2층
소개: 08:00 ~ 22:00, 국민은행, 우리은행

-정보과학관 ATM
위치: 정보과학관 1층
소개: 09:00 ~ 16:00, 우리은행

-전산관 ATM
위치: 전산관 1층 출입구
소개: 09:00 ~ 16:00, 우리은행

-조만식기념관 ATM
위치: 조만식기념관 1층
소개: 우리은행, 신한은행 : 07:00~23:00(일요일, 공휴일제외),현금 입/출금, 수표 입/출금, 송금 
지도 보러가기!",https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EA%B8%88%EC%9C%B5%EC%8B%9C%EC%84%A4#map_area,
13,편의시설,,,,,교내 편의시설,교내 편의시설 정보&위치 보러가기!,https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EC%B2%B4%EC%9C%A1%EC%8B%9C%EC%84%A4#map_area,
14,편의시설,,,,,편의시설,교내 편의시설 정보&위치 보러가기!,https://ssu.ac.kr/%eb%8c%80%ed%95%99%ec%83%9d%ed%99%9c/%ea%b5%90%eb%82%b4%ec%83%9d%ed%99%9c%ec%a7%80%ec%9b%90/%ed%8e%b8%ec%9d%98%ec%8b%9c%ec%84%a4/?team=%EC%B2%B4%EC%9C%A1%EC%8B%9C%EC%84%A4#map_area,
15,동아리,,,,,동아리,교내 동아리 활동 상세보기!,https://ssu.ac.kr/download.php?data=1iZBAEYP01G24N2v6wVl9lozjEyUUmlYu%2BBI6hqOXoVdywSODYt2DoTmplO0nDJVwq%2FxHDk36qdkZ%2BTbXo5EOQ7dldNhJuJmjhrx1V6sbRPhUbgnr2gxI%2FqewsQlxillIw9eN20jae816R0wxIwJnPyYm%2BOPwqlTuj%2BcZmYJXP8WLXE%2Fl0moHDcopWYyt45W8hL%2B6O7uXSSfxg%2BfwItC3g%3D%3D,
16,창업지원단,,,,,창업지원단,창업지원단 홈페이지 바로가기!,http://startup.ssu.ac.kr/,
17,창업지원단,,,,,스타트업,창업지원단 홈페이지 바로가기!,http://startup.ssu.ac.kr/,
18,봉사활동지원,,,,,사회공헌센터,사회공헌센터 홈페이지 바로가기!,http://vssc.ssu.ac.kr/,
19,학교 SNS,인스타그램,,,,인스타그램,숭실대학교 인스타그램 바로가기!,https://www.instagram.com/soongsil1897/,
20,학교 SNS,페이스북,,,,페이스북,숭실대학교 페이스북 바로가기!,https://www.facebook.com/soongsiluniv,
21,학교 SNS,유튜브,,,,유튜브,숭실대학교 유튜브 바로가기!,https://www.youtube.com/user/soongsil1897,
22,학교 SNS,블로그,,,,블로그,숭실대학교 블로그 바로가기!,http://blog.naver.com/soongsil1897,
23,학교 주소 전화번호,주소,,,,학교 주소,"학교 전화번호와 주소에요!
주소: 서울시 동작구 상도로 369 숭실대학교 
TEL:  02-820-0114",,
24,학교 주소 전화번호,전화번호,학교,,,학교 전화번호,"학교 전화번호와 주소에요!
주소: 서울시 동작구 상도로 369 숭실대학교 
TEL:  02-820-0114",,
25,학교 주소 전화번호,전화번호,학사팀,,,학사팀,"학사팀
위치 : 신양관 102호
TEL : 02-815-9998
FAX : 02-815-9998
E-mail : haksa@ssu.ac.kr",,
26,학교 주소 전화번호,전화번호,교무팀,,,교무팀,"교무팀
위치 : 신양관 101호
TEL : 02-820-0148
FAX : 02-815-6136
E-mail : academic@ssu.ac.kr",,
27,학교 주소 전화번호,전화번호,교직팀,,,교직팀,"교직팀
위치 : 신양관 102호
TEL : 02-828-7404
FAX :
E-mail : gyojik@ssu.ac.kr",,
28,학교 주소 전화번호,전화번호,학생서비스팀,,,학생서비스팀,"학생서비스팀
위치 : 학생회관 504호, 505호
TEL : 02-820-0161~4, 820-0
FAX : 02-828-7069
E-mail : hak@ssu.ac.kr , cs@ssu.ac.kr",,
29,학교 주소 전화번호,전화번호,장학팀,,,장학팀,"장학팀
위치 : 학생회관 406호
TEL : 02-820-0159, 02-828-
FAX : 02-820-0062
E-mail : ser@ssu.ac.kr",,
30,학교 주소 전화번호,전화번호,상담팀,,,상담팀,"상담팀
위치 : 학생회관 502호
TEL : 02-820-0881, 0856
FAX : 02-828-7068
E-mail : counsel@ssu.ac.kr",,
31, 학교 주소 전화번호,전화번호,양성평등팀,,,양성평등팀,"양성평등팀
위치 : 학생회관 502호
TEL : 02-820-0843
FAX : 02-828-7068
E-mail : counsel@ssu.ac.kr",,
32,학교 주소 전화번호,전화번호,사회공헌팀,,,사회공헌팀,"사회공헌팀
위치 : 미래관 106호
TEL : 02-820-0801~3, 0810
FAX : 02-820-0805
E-mail : vssc@ssu.ac.kr",,
33,학교 주소 전화번호,전화번호,장애학생지원팀,,,장애학생지원팀,"장애학생지원팀
위치 : 조만식기념관 117호
TEL : 02-820-0060
FAX : 02-820-0805
E-mail : vssc@ssu.ac.kr",,
34,학교 주소 전화번호,전화번호,총무/인사팀,,,총무인사팀,"총무/인사팀
위치 : 베어드홀 202호
TEL : 02-820-0177
FAX : 02-816-1513
E-mail : insa@ssu.ac.kr",,
35,학교 주소 전화번호,전화번호,재무회계팀,,,재무회계팀,"재무회계팀
위치 : 신양관 109호
TEL : 02-828-7240
FAX : 02-825-5755
E-mail : acc@ssu.ac.kr",,
36,학교 주소 전화번호,전화번호,관리팀,,,관리팀,"관리팀
위치 : 베어드홀 302호
TEL : 02-820-0195
FAX : 02-828-7475",,
37,학교 주소 전화번호,전화번호,분실물,,,분실물,"분실물 센터
TEL: 820-0063, 0164",,
38,학교 주소 전화번호,전화번호,분실물,,,분실물 센터,"분실물 센터
TEL: 820-0063, 0164",,
39,학교 주소 전화번호,전화번호,안전시설팀,,,안전시설팀,"안전시설팀
위치 : 학생회관 312호
TEL : 02-820-0211(시설팀), 02
FAX : 02-828-7143
E-mail : property@ssu.ac.kr",,
40,학교 주소 전화번호,전화번호,국제팀,,,국제팀,"위치 : 신양관 203호
TEL : 02-820-0776
FAX : 02-823-5915
E-mail : study@ssu.ac.kr",,
41,학교 주소 전화번호,전화번호,국제교육원,,,국제교육원,"위치 : 신양관 203호
TEL : 02-828-7357
FAX : 02-823-5915
E-mail : language@ssu.ac.kr",,
42,학교 사이트,,,,,스마트캠퍼스,스마트 캠퍼스 바로가기!,https://myclass.ssu.ac.kr,
43,학교 사이트,,,,,숭실원격평생교육원,숭실원격평생교육원 홈페이지 바로가기!,http://www.smart.ac.kr/,
44,학교 사이트,,,,,숭실 호스피탈리티,숭실호스피탈리티 홈페이지 바로가기!,http://www.sshi.ac.kr/,
45,학교 사이트,,,,,호스피탈리티,숭실호스피탈리티 홈페이지 바로가기!,http://www.sshi.ac.kr/,
46,학교 사이트,,,,,숭실사이버대학교,숭실사이버대학교 홈페이지 바로가기!,http://www.kcu.ac/portal/default.asp,
47,학교 사이트,,,,,숭사대,숭실사이버대학교 홈페이지 바로가기!,http://www.kcu.ac/portal/default.asp,
